stage,metric,value,unit,period,notes,as_of
leads,count,55,students,2026-Q1,Definition: Romania-qualified form fills plus counselor imports entering HubSpot; Measurement: HubSpot lifecycle_stage=lead filter rolling weekly deduped by contact_id; Source: HubSpot CRM sync to Slate; Target rationale: keeps 5 enrollments per week viable for both campuses,2025-12-22
mqls,count,33,students,2026-Q1,Definition: Leads scoring 65+ or verified through counselor referral; Measurement: HubSpot MQL view with Romania country and UNIC campus interest flags; Source: HubSpot scoring automation plus recruiter QA; Target rationale: 60 percent of leads must advance weekly,2025-12-22
meetings,count,21,students,2026-Q1,Definition: Live counselor or recruiter meetings logged in Slate; Measurement: Slate activity type=Consultation within the week linked to Romania contact_id; Source: Slate activity report cross-checked to HubSpot meetings; Target rationale: ensures 65 percent MQL coverage,2025-12-22
applications,count,11,students,2026-Q1,Definition: Submitted applications (UNIC Nicosia or UNIC Athens) with Romania high school source; Measurement: Slate status=Submitted per week irrespective of intake; Source: Slate application pipeline; Target rationale: coverage for medicine plus business clusters,2025-12-22
offers,count,9,students,2026-Q1,Definition: Offers released after academic review; Measurement: Slate status=Offer Extended per week tagged Romania; Source: Admissions Ops weekly export; Target rationale: 80 percent offer rate off applications,2025-12-22
deposits,count,6,students,2026-Q1,Definition: Deposits posted and reconciled in NetSuite for Romania applicants; Measurement: Finance deposit ledger where country_of_residence=Romania and program matches campuses; Source: NetSuite plus Admissions Ops tracker; Target rationale: maintain 2 week payment SLA,2025-12-22
enrollments,count,5,students,2026-Q1,Definition: Students confirming arrival (enrollment form plus first day attendance flag); Measurement: Campus SIS start-list filtered by Romania citizenship or schooling; Source: Banner SIS for UNIC Nicosia and Athens; Target rationale: 5 weekly starts sustains 250 annual enrollments,2025-12-22
mqls,conversion_rate,60,%,2026-Q1,Definition: Portion of weekly leads that reach MQL within 7 days; Measurement: HubSpot report MQLs divided by leads per cohort; Source: HubSpot funnel analytics; Target rationale: enforces quality gates before recruiter time,2025-12-22
meetings,conversion_rate,64,%,2026-Q1,Definition: Share of MQLs that complete a scheduled meeting within 10 days; Measurement: Slate consultations divided by HubSpot MQL volume; Source: Slate to HubSpot integration; Target rationale: ensures handoff discipline with agents,2025-12-22
applications,conversion_rate,52,%,2026-Q1,Definition: Share of meetings that submit an application within 21 days; Measurement: Slate submitted apps matched to meeting contact_id; Source: Slate activity and application tables; Target rationale: identifies counseling effectiveness,2025-12-22
offers,conversion_rate,82,%,2026-Q1,Definition: Share of submitted applications that progress to offer; Measurement: Slate offers divided by submitted apps same week; Source: Admissions Ops QA export; Target rationale: flags academic document gaps early,2025-12-22
deposits,conversion_rate,67,%,2026-Q1,Definition: Share of offers that pay the deposit within SLA (Day 14 standard); Measurement: NetSuite deposit count divided by Slate offers for the same cohort week; Source: Finance ledger plus Admissions Ops; Target rationale: matches deposit deadline playbook,2025-12-22
enrollments,conversion_rate,83,%,2026-Q1,Definition: Share of deposits that enroll (arrive and attend census Week 1); Measurement: SIS enrolled records divided by deposit cohort; Source: Banner SIS plus Arrival tracker; Target rationale: ensures visa plus onboarding readiness,2025-12-22
leads,cost_per,18,EUR,2026-Q1,Definition: Blended paid media and agent marketing cost per Romania lead; Measurement: Marketing spend (Meta+Google+agent retainers) divided by weekly lead count; Source: Marketing budget tracker plus HubSpot leads; Target rationale: keeps CAC under euro 20,2025-12-22
applications,yield,20,%,2026-Q1,Definition: Portion of total leads that convert to submitted applications inside 45 days; Measurement: Slate submitted applications divided by HubSpot leads for cohort; Source: HubSpot-Slate attribution model; Target rationale: stress test of counselor alignment,2025-12-22
enrollments,yield,9,%,2026-Q1,Definition: Portion of total leads that become enrolled students; Measurement: SIS enrollments divided by HubSpot leads; Source: Banner SIS plus HubSpot unique leads; Target rationale: ensures volume supports 250 seat plan,2025-12-22
