competitor,program_name,degree_level,delivery,tuition_eur,location,language,intake_months,notes,as_of
"Carol Davila University of Medicine and Pharmacy","MD Medicine (English)",bachelor,on-campus,10000,"Bucharest, RO","English","October","Cluster: Medicine | €10k/year for English/French cohorts with April–July entrance testing, making it the baseline Romanian comparator for medicine seekers | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"Iuliu Hatieganu University of Medicine and Pharmacy","MD Medicine (English/French)",bachelor,on-campus,10000,"Cluj-Napoca, RO","English;French","September","Cluster: Medicine | Tiered tuition (€10k year 1 → €6k year 6) plus dual May/July intakes and 50% confirmation deposit valued by Cluj-focused families | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"Grigore T. Popa University of Medicine and Pharmacy","MD Medicine (English)",bachelor,on-campus,8500,"Iasi, RO","English","October","Cluster: Medicine | €8.5k/year fee plus €250 file processing; document-ranking admissions keep Iasi on Romanian shortlists | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"Victor Babes University of Medicine and Pharmacy","MD Medicine (English)",bachelor,on-campus,8000,"Timisoara, RO","English","October","Cluster: Medicine | €8k/year tuition with Biology entrance test and western-city placements attractive to Banat talent | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"George Emil Palade University of Medicine Pharmacy Science and Technology of Targu Mures","MD Medicine (English)",bachelor,on-campus,10000,"Targu Mures, RO","English","October","Cluster: Medicine | €10k/year plus €5k seat deposit due after May/July rounds; limited 150-seat cohort drives urgency | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"Ovidius University of Constanta","MD Medicine (English)",bachelor,on-campus,7500,"Constanta, RO","English","October","Cluster: Medicine | €7.5k/year coastal MD option with English track, highlighted for Romanian students wanting lower fees | Source: https://www.mastere.tn/en/study-medicine-in-romania/","2025-12-22"
"Medical University of Sofia","MD Medicine (English)",bachelor,on-campus,9950,"Sofia, BG","English","October","Cluster: Medicine | €9,950/year English MD from 2025/26 plus Biology/Chemistry/English entrance exam; Bulgaria seat availability hedges Romania demand | Source: https://www.interhecs.com/news/sofia-medical-university-increases-tuition-fees/","2025-12-22"
"Babes-Bolyai University","BSc Computer Science (English)",bachelor,on-campus,5000,"Cluj-Napoca, RO","English","October","Cluster: CS/Data/AI | €5k/year English-track CS with embedded Cluj tech-lab partnerships | Source: https://babes-bolyai-university.webflow.io/","2025-12-22"
"University of Bucharest","BSc Computer Science",bachelor,on-campus,2670,"Bucharest, RO","English;Romanian","October","Cluster: CS/Data/AI | €2,670/year Faculty of Mathematics & CS fee for EU students; capital internships feed Romanian hiring funnels | Source: https://alfrededu.com/romania/fee/university-of-bucharest/","2025-12-22"
"Transilvania University of Brasov","BSc Computer Science (non-EU track)",bachelor,on-campus,2430,"Brasov, RO","English;Romanian","October","Cluster: CS/Data/AI | €2,430/year non-EU fee at Electrical Engineering & Computer Science; Brasov cost base appeals to families comparing beyond Bucharest | Source: https://www.unitbv.ro/en/international-students/tuition-fee.html","2025-12-22"
"Politehnica University of Bucharest","BSc Computer Science (English)",bachelor,on-campus,1080,"Bucharest, RO","English","October","Cluster: CS/Data/AI | 5,500 RON (~€1,080) annual fee for FILS English CS; installment-friendly for Romanian applicants | Source: https://etti.upb.ro/en/2024/09/30/6455/ | FX: https://www.cursbnr.ro/arhiva-curs-bnr-2025-12-18","2025-12-22"
"Politehnica University of Timisoara","BSc Computer Science (ID/IFR)",bachelor,on-campus,790,"Timisoara, RO","Romanian","October","Cluster: CS/Data/AI | 4,020 RON (~€790) per year for flexible-format CS (Board Decision 16/13.02.2025) letting students work while studying | Source: https://elearning.upt.ro/en/admitere-2025-sesiunea-iulie/ | FX: https://www.cursbnr.ro/arhiva-curs-bnr-2025-12-18","2025-12-22"
"Bucharest University of Economic Studies","BSc Economic Informatics (English)",bachelor,on-campus,1376,"Bucharest, RO","English","October","Cluster: CS/Data/AI | 7,000 RON (~€1,376) EU fee for English Economic Informatics plus analytics-focused curriculum | Source: https://en.ase.ro/index_en.asp?page=fees | FX: https://www.cursbnr.ro/arhiva-curs-bnr-2025-12-18","2025-12-22"
"University of Groningen","BSc Artificial Intelligence",bachelor,on-campus,2601,"Groningen, NL","English","September","Cluster: CS/Data/AI | €2,601 statutory EU fee; numerus-fixus AI with 1 May deadline and September start for Dutch lab access | Source: https://www.studyinnl.org/dutch-education/studies/artificial-intelligence-469-university-of-groningen","2025-12-22"
"Bucharest University of Economic Studies","BBA (English)",bachelor,on-campus,1376,"Bucharest, RO","English","October","Cluster: Business | 7,000 RON (~€1,376) per year for AACSB-accredited English BBA with Bucharest corporate pipelines | Source: https://en.ase.ro/index_en.asp?page=fees | FX: https://www.cursbnr.ro/arhiva-curs-bnr-2025-12-18","2025-12-22"
"Babes-Bolyai University","BSc Business Administration (English)",bachelor,on-campus,3000,"Cluj-Napoca, RO","English","October","Cluster: Business | €3k/year hospitality-leaning BA program with Erasmus mobility in Cluj hub | Source: https://babes-bolyai-university.webflow.io/","2025-12-22"
"American University in Bulgaria","BBA",bachelor,on-campus,13400,"Blagoevgrad, BG","English","September","Cluster: Business | €6,700/semester (€13,400/yr) tuition plus €320 activity fee; 93% of BA students receive scholarships | Source: https://www.aubg.edu/bg/%D0%BF%D1%80%D0%B8%D0%B5%D0%BC/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%8A%D1%80/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%BF%D0%BE%D0%B4%D0%BA%D1%80%D0%B5%D0%BF%D0%B0/","2025-12-22"
"Rotterdam School of Management Erasmus University","BSc International Business Administration",bachelor,on-campus,2695,"Rotterdam, NL","English","September","Cluster: Business | €2,695 statutory fee; numerus fixus with 15 January deadline and September start | Source: https://www.rsm.nl/education/bachelor/bsc-international-business-administration-iba/","2025-12-22"
"Vienna University of Economics and Business","BSc Business and Economics",bachelor,on-campus,726.72,"Vienna, AT","English","October","Cluster: Business | €363.36/semester (€726.72/yr) EU tuition; application window closes 30 May for October start | Source: https://www.bachelorstudies.ng/institutions/wu-vienna/bsc-in-business-and-economics","2025-12-22"
"Bocconi University","BSc International Economics and Management",bachelor,on-campus,16700,"Milan, IT","English","September","Cluster: Business | €16.7k/year tuition for first-year Bachelor entrants with competitive need-based waivers | Source: https://www.unibocconi.it/en/programs/current-students/applicable-fees-and-installments-bachelor-science-and-law-programs","2025-12-22"
