scholarship_id,name,eligibility,amount_type,amount_value,currency,deadline,source,notes,as_of
unic_nicosia_merit_entry,UNIC Nicosia Academic Merit Scholarship (entry year),"Romanian (EU) undergraduates in their first year at UNIC Nicosia with strong High School Leaving Certificate grades; full-time enrolment (30 ECTS/semester) required.",percentage,,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","First-year tuition percentage scholarship based on High School Leaving Certificate grade bands by country; amount is set by UNIC tables and communicated in the offer; do not quote a specific percentage without the official scholarship letter.",2026-04-12
unic_nicosia_merit_cgpa,UNIC Nicosia Academic Merit Scholarship (continuing CGPA),"Full-time UNIC Nicosia undergraduates, including Romanians, who have completed at least 60 ECTS and hold a cumulative GPA between 3.50 and 4.00 on the 4.00 scale.",range,10-50,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Awards 50% tuition for CGPA 4.00, 20% for 3.75-3.99, and 10% for 3.50-3.74; applied as a tuition reduction each semester for eligible students; students eligible for multiple UNIC scholarships normally receive only the highest total tuition reduction.",2026-04-12
unic_nicosia_athletic,UNIC Nicosia Athletic Scholarship,"Student-athletes competing for UNIC Nicosia sports teams or high-level athletes with recognised achievements; must be enrolled full time in an undergraduate programme.",range,0-40,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Athletic scholarships of up to 40% of tuition awarded case by case by the Sports Office based on sport, level, and contribution; typically combined with other aid only within UNIC’s maximum tuition-relief policy.",2026-04-12
unic_nicosia_need_based,UNIC Nicosia Financial Aid (need-based),"On-campus UNIC Nicosia students, including Romanians, from underprivileged socioeconomic backgrounds who submit the Scholarship/Financial Aid application with full income and household documentation.",other,,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Points-based financial aid scheme that reduces tuition according to household income, dependants, and social or health factors; exact percentage is not published and is determined by the Financial Aid Office for each case.",2026-04-12
unic_nicosia_large_family,UNIC Nicosia Large Family Scholarship,"Students at UNIC Nicosia who come from families with four or more children and can provide official family-status documentation.",percentage,15,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","15% tuition scholarship for the entire duration of the programme; assessed within the wider financial-aid framework so overall tuition relief may still be limited to the highest single scholarship combination.",2026-04-12
unic_nicosia_academic_family,UNIC Nicosia Academic Family Scholarship (second degree / siblings),"UNIC Nicosia or Intercollege graduates starting a second degree at UNIC Nicosia, and families with two or more siblings enrolled at the University during the same semester.",percentage,10,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Provides a 10% tuition reduction for eligible second-degree students and for each sibling; may coexist with other schemes only within UNIC’s overall scholarship caps and terms.",2026-04-12
unic_nicosia_work_study,UNIC Nicosia On-Campus Work-Study Programme,"UNIC Nicosia students with strong academic and extracurricular profiles who secure a limited on-campus internship position announced each semester.",other,,,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Part-time campus internships where compensation is applied as tuition reduction rather than salary; positions are limited and competitive and should not be marketed as guaranteed funding.",2026-04-12
unic_nicosia_moec_grants,Cyprus Government Grant and MOEC Student Welfare Measures (UNIC Nicosia),"Cypriot citizens and EU citizens who are permanent residents of Cyprus, enrolled in on-campus Bachelor or Master programmes at UNIC Nicosia and meeting Ministry income and family-size thresholds.",range,2175-3420,EUR,,"https://www.unic.ac.cy/nicosia/scholarships-financial-aid/","Government-run grant and welfare allowances administered by the Ministry of Education and Culture; grant amounts roughly €2,175-€3,420 per year plus capped allowances for accommodation, food, airfare, and first-year support; Romanian nationals are only eligible if they are permanent residents of Cyprus, so treat this as a case-by-case third-party benefit rather than a standard UNIC scholarship. See also the official MOEC portal: https://www.gov.cy.",2026-04-12
unic_athens_academic_excellence,UNIC Athens Academic Excellence Scholarship,"Romanian (EU) and other students admitted to an undergraduate programme at UNIC Athens who achieve strong results in a recognised examination system (e.g., Panhellenic, Pancyprian, IB Diploma, SAT, ACT, A Levels, JEE Main, CBSE, Gaokao).",range,10-40,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","Four-tier merit scholarship (Bronze 10%, Silver 20%, Gold 30%, Platinum 40% tuition) awarded on the basis of final, official exam results; students are considered for the single highest tier only and thresholds are reviewed annually, so counselors must confirm the current entry-year table before quoting.",2026-04-12
unic_athens_hellenic_frontier,UNIC Athens Hellenic Frontier Scholarship,"Students who completed the last two years of secondary school and have their permanent home address in designated remote island, border, or mountainous municipalities in Greece; EU citizens, including Romanians, may qualify if they meet the same residence and schooling criteria.",percentage,20,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","20% tuition scholarship for the full duration of the undergraduate programme; renewal requires full-time study and satisfactory academic progress; primarily relevant for families living in the specified frontier localities and should not be positioned as a generic Romania-wide offer.",2026-04-12
unic_athens_sports,UNIC Athens Sports Scholarship,"High-performing student-athletes (including eligible esports players) admitted to a full-time undergraduate programme at UNIC Athens who meet the published Gold, Silver, or Bronze performance tiers or an equivalent level verified by a national governing body.",range,25-50,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","Tiered scholarship awarding 25%, 35%, or 50% tuition reduction depending on sporting achievement; EU and non-EU citizens are evaluated on identical criteria and awards normally follow the single-highest-scholarship rule.",2026-04-12
unic_athens_opportunity_need,UNIC Athens Opportunity Scholarship (need-based),"Greek and other EU/EEA undergraduates at UNIC Athens, including Romanians, from lower- and middle-income households who submit the full Opportunity Scholarship application with supporting tax and social or health documentation.",range,10-40,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","Means-tested tuition scholarship using a points system based on per-capita gross income plus social, health, and relocation factors; awards range from roughly 10% to 40% tuition reduction and are reassessed annually, with reapplication recommended by 30 June.",2026-04-12
unic_athens_large_family,UNIC Athens Large Family Scholarship,"Students at UNIC Athens who come from families with four or more children and provide an official family-status certificate.",percentage,15,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","15% tuition scholarship for the full duration of the programme; often evaluated alongside the Opportunity Scholarship, with overall tuition relief still governed by UNIC’s scholarship policy caps.",2026-04-12
unic_athens_academic_family,UNIC Athens Academic Family Scholarship (second degree / siblings),"UNIC Nicosia graduates starting a second degree at UNIC Athens and families with two or more siblings studying at the University during the same semester.",percentage,10,,,"https://www.unic.ac.cy/athens/scholarships-financial-aid/","10% tuition reduction for eligible second-degree students and for each sibling; can be combined with other schemes only as permitted by UNIC Athens scholarship terms and should not be double-counted with higher merit or need-based awards.",2026-04-12
